Nome_posto	Data_venda	Preco	Data_manipulada
POSTO CAPIM DOURADO LTDA	4/4/2012	2,649	01/04/12
POSTO ALDEIA LTDA	4/4/2012	2,79	01/04/12
AUTO POSTO SOLIDEZ LTDA	3/4/2012	2,87	01/04/12
AUTO POSTO SANTA LUZIA LTDA	18/4/2012	2,79	01/04/12
POSTO CAPIM DOURADO LTDA	24/10/2012	2,549	01/10/12
POSTO ALDEIA LTDA	24/10/2012	2,69	01/10/12
AUTO POSTO SOLIDEZ LTDA	24/10/2012	2,69	01/10/12
AUTO POSTO SANTA LUZIA LTDA	28/11/2012	2,59	01/10/12
POSTO CAPIM DOURADO LTDA	3/4/2013	2,749	01/04/13
POSTO ALDEIA LTDA	3/4/2013	2,89	01/04/13
AUTO POSTO SANTA LUZIA LTDA	3/4/2013	2,89	01/04/13
AUTO POSTO SOLIDEZ LTDA	3/4/2013	2,98	01/04/13
POSTO CAPIM DOURADO LTDA	9/10/2013	2,899	01/10/13
POSTO ALDEIA LTDA	9/10/2013	2,97	01/10/13
AUTO POSTO SANTA LUZIA LTDA	9/10/2013	2,979	01/10/13
AUTO POSTO SOLIDEZ LTDA	9/10/2013	2,99	01/10/13
POSTO CAPIM DOURADO LTDA	9/4/2014	3,099	01/04/14
POSTO ALDEIA LTDA	9/4/2014	3,15	01/04/14
AUTO POSTO SANTA LUZIA LTDA	9/4/2014	3,15	01/04/14
AUTO POSTO SOLIDEZ LTDA	9/4/2014	3,15	01/04/14
POSTO CAPIM DOURADO LTDA	7/10/2014	2,99	01/10/14
POSTO ALDEIA LTDA	7/10/2014	2,99	01/10/14
AUTO POSTO SANTA LUZIA LTDA	7/10/2014	2,99	01/10/14
AUTO POSTO SOLIDEZ LTDA	7/10/2014	2,99	01/10/14
POSTO ALDEIA LTDA	8/4/2015	3,45	01/04/15
AUTO POSTO SANTA LUZIA LTDA	8/4/2015	3,45	01/04/15
AUTO POSTO SOLIDEZ LTDA	8/4/2015	3,39	01/04/15
POSTO CAPIM DOURADO LTDA	27/5/2015	3,19	01/04/15
POSTO CAPIM DOURADO LTDA	7/10/2015	3,499	01/10/15
POSTO ALDEIA LTDA	7/10/2015	3,57	01/10/15
AUTO POSTO SANTA LUZIA LTDA	7/10/2015	3,499	01/10/15
AUTO POSTO SOLIDEZ LTDA	7/10/2015	3,36	01/10/15
POSTO CAPIM DOURADO LTDA	14/4/2016	3,849	31/03/16
AUTO POSTO SANTA LUZIA LTDA	14/4/2016	3,95	31/03/16
AUTO POSTO SOLIDEZ LTDA	14/4/2016	3,919	31/03/16
POSTO ALDEIA LTDA	20/4/2016	3,97	31/03/16
POSTO ALDEIA LTDA	13/10/2016	3,97	30/09/16
AUTO POSTO SOLIDEZ LTDA	13/10/2016	3,859	30/09/16
POSTO CAPIM DOURADO LTDA	19/10/2016	3,849	30/09/16
AUTO POSTO SANTA LUZIA LTDA	19/10/2016	3,499	30/09/16
POSTO CAPIM DOURADO LTDA	5/4/2017	3,899	31/03/17
POSTO ALDEIA LTDA	5/4/2017	3,94	31/03/17
AUTO POSTO SANTA LUZIA LTDA	5/4/2017	3,94	31/03/17
AUTO POSTO SOLIDEZ LTDA	5/4/2017	3,59	31/03/17
POSTO ALDEIA LTDA	2/8/2017	3,79	30/09/17
POSTO CAPIM DOURADO LTDA	9/8/2017	3,999	30/09/17
AUTO POSTO SANTA LUZIA LTDA	9/8/2017	4,09	30/09/17
AUTO POSTO SOLIDEZ LTDA	9/8/2017	4,09	30/09/17
POSTO ALDEIA LTDA	14/3/2018	4,49	31/03/18
POSTO CAPIM DOURADO LTDA	21/3/2018	4,499	31/03/18
AUTO POSTO SANTA LUZIA LTDA	28/3/2018	4,429	31/03/18
AUTO POSTO SOLIDEZ LTDA	28/3/2018	4,499	31/03/18
AUTO POSTO SANTA LUZIA LTDA	10/10/2018	4,95	30/09/18
AUTO POSTO SOLIDEZ LTDA	10/10/2018	4,949	30/09/18
POSTO CAPIM DOURADO LTDA	17/10/2018	5,099	30/09/18
POSTO ALDEIA LTDA	17/10/2018	4,99	30/09/18
POSTO CAPIM DOURADO LTDA	10/4/2019	4,599	31/03/19
POSTO ALDEIA LTDA	10/4/2019	4,159	31/03/19
AUTO POSTO SANTA LUZIA LTDA	10/4/2019	4,64	31/03/19
AUTO POSTO SOLIDEZ LTDA	10/4/2019	4,29	31/03/19
POSTO CAPIM DOURADO LTDA	2/10/2019	4,599	30/09/19
POSTO ALDEIA LTDA	2/10/2019	4,559	30/09/19
AUTO POSTO SANTA LUZIA LTDA	2/10/2019	4,54	30/09/19
AUTO POSTO SOLIDEZ LTDA	2/10/2019	4,55	30/09/19
AUTO POSTO SANTA LUZIA LTDA	7/4/2020	4,07	30/03/20
POSTO CAPIM DOURADO LTDA	13/4/2020	4,079	30/03/20
POSTO ALDEIA LTDA	13/4/2020	3,989	30/03/20
AUTO POSTO SOLIDEZ LTDA	13/4/2020	3,989	30/03/20
POSTO ALDEIA LTDA	20/10/2020	4,84	29/09/20
AUTO POSTO SANTA LUZIA LTDA	19/10/2020	4,64	29/09/20
AUTO POSTO SOLIDEZ LTDA	19/10/2020	4,844	29/09/20
POSTO CAPIM DOURADO LTDA	27/10/2020	4,799	29/09/20
POSTO CAPIM DOURADO LTDA	22/4/2021	5,999	30/03/21
POSTO ALDEIA LTDA	22/4/2021	5,699	30/03/21
AUTO POSTO SANTA LUZIA LTDA	22/4/2021	5,599	30/03/21
AUTO POSTO SOLIDEZ LTDA	22/4/2021	5,974	30/03/21
POSTO CAPIM DOURADO LTDA	20/10/2021	6,979	29/09/21
POSTO ALDEIA LTDA	20/10/2021	6,64	29/09/21
AUTO POSTO SANTA LUZIA LTDA	20/10/2021	6,499	29/09/21
AUTO POSTO SOLIDEZ LTDA	20/10/2021	6,694	29/09/21
POSTO ALDEIA LTDA	19/4/2022	7,64	30/03/22
AUTO POSTO SANTA LUZIA LTDA	19/4/2022	7,64	30/03/22
AUTO POSTO SOLIDEZ LTDA	19/4/2022	7,74	30/03/22
POSTO CAPIM DOURADO LTDA	27/4/2022	7,62	30/03/22
POSTO CAPIM DOURADO LTDA	27/9/2022	5,19	29/09/22
AUTO POSTO SANTA LUZIA LTDA	17/10/2022	4,99	29/09/22
POSTO ALDEIA LTDA	18/10/2022	4,89	29/09/22
AUTO POSTO SOLIDEZ LTDA	18/10/2022	4,89	29/09/22
POSTO CAPIM DOURADO LTDA	23/3/2023	5,69	30/03/23
POSTO ALDEIA LTDA	3/4/2023	5,84	30/03/23
AUTO POSTO SOLIDEZ LTDA	3/4/2023	5,74	30/03/23
AUTO POSTO SANTA LUZIA LTDA	3/4/2023	5,69	30/03/23
POSTO CAPIM DOURADO LTDA	25/7/2023	5,62	29/09/23
POSTO ALDEIA LTDA	13/9/2023	5,82	29/09/23
AUTO POSTO SOLIDEZ LTDA	13/9/2023	5,69	29/09/23
AUTO POSTO SANTA LUZIA LTDA	13/9/2023	5,49	29/09/23
