x,p,d,q,P,D,Q,p_norm,p_estac,p_ind,AIC.model
26,0,0,0,1,0,1,0.000106779048788877,0.611615629578314,9.99200722162641e-16,202.114292704776
302,0,0,2,0,2,1,0.000108728909817967,0.60481390982873,8.87529186810454e-08,122.169801676154
1189,0,1,2,1,2,0,0.000109364767764413,0.0420944869209806,0.351120343129376,114.838998351817
149,0,0,1,0,0,4,0.000118210986646247,0.563633443081096,3.27644776032532e-06,131.868626222171
179,0,0,1,1,1,4,0.000119973274381641,0.653565572284837,8.30331206502777e-06,148.352508444245
227,0,0,1,3,1,4,0.000120411188116756,0.655387743506474,1.66706403915695e-05,151.195208611449
589,0,0,4,0,2,0,0.000121231269799657,0.780580265161782,0.438700053516045,133.549159864913
148,0,0,1,0,0,3,0.000127503410117643,0.549925709876116,3.42520720109096e-06,130.132399161246
172,0,0,1,1,0,3,0.000128829989150193,0.553494318634791,3.32395737201452e-06,132.082074545463
180,0,0,1,1,1,5,0.000129270143677014,0.656193383904297,9.49816293593919e-06,149.98156653541
244,0,0,1,4,0,3,0.000129412169327988,0.330270959774587,0.000886350328566543,125.794459084255
226,0,0,1,3,1,3,0.000129976126175796,0.526236419139102,9.84136015691472e-06,147.743989884608
757,0,0,5,1,2,0,0.000135230849884438,0.550973876920921,0.604292027313542,109.941030362708
469,0,0,3,1,2,0,0.000136103273684724,0.586227441211471,0.181071370184415,116.307385766752
245,0,0,1,4,0,4,0.000150780533985472,0.331514077953767,0.000803563925959816,128.054457904137
1602,0,1,5,0,2,5,0.000157900704991654,0.021516680190053,0.618101286392223,102.694393576655
197,0,0,1,2,0,4,0.000170542132719772,0.39637914865074,0.000102163535791955,128.624375440913
1525,0,1,4,3,2,0,0.000171258240267314,0.0834670190213777,0.973607852731649,96.3184972116411
3,0,0,0,0,0,2,0.00018250034424996,0.550184864964929,5.32907051820075e-15,201.319723174785
243,0,0,1,4,0,2,0.000185471192379249,0.335639020034139,0.000742734672052436,124.229505291042
247,0,0,1,4,1,0,0.00018941105850559,0.441508620406297,0.000960721903184969,136.412426793677
108,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
109,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
110,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
111,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
112,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
113,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
114,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
115,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
116,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
117,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
118,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
119,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
120,0,0,0,4,1,5,0.00019348543474167,0.564463917322462,1.86783921662936e-11,189.983385569624
103,0,0,0,4,1,0,0.000193787220292137,0.564414503446922,1.87477811053327e-11,179.983205144185
104,0,0,0,4,1,1,0.000193820116685566,0.564420890716527,1.8754331421178e-11,181.983265354983
