"X","mes","media_mensal"
"1","2018-01",4.54344444444444
"2","2018-02",4.52333333333333
"3","2018-03",4.499
"4","2018-04",4.399
"5","2018-05",4.38471428571429
"6","2018-06",4.88233333333333
"7","2018-07",4.799
"8","2018-08",4.7981
"9","2018-09",4.979
"10","2018-10",4.979
"11","2018-11",4.661141
"12","2018-12",4.661141
"13","2019-01",4.574
"14","2019-02",4.665063
"15","2019-03",4.49
"16","2019-04",4.69
"17","2019-05",4.87
"18","2019-06",4.69
"19","2019-07",4.499
"20","2019-08",4.26
"21","2019-09",4.57
"22","2019-10",4.67
"23","2019-11",4.718
"24","2019-12",4.78316666666667
"25","2020-01",4.85266666666667
"26","2020-02",4.82157142857143
"27","2020-03",4.599
"28","2020-04",4.19944444444444
"29","2020-05",3.85425
"30","2020-06",4.12066666666667
"31","2020-07",4.0656
"32","2020-08",4.57466666666667
"33","2020-09",4.460714
"34","2020-10",4.8695
"35","2020-11",4.879
"36","2020-12",4.894
"37","2021-01",4.915
"38","2021-02",5.0345
"39","2021-03",5.61416666666667
"40","2021-04",5.6332
"41","2021-05",5.999
"42","2021-06",5.982
"43","2021-07",6.14633333333333
"44","2021-08",6.34633333333333
"45","2021-09",6.6616
"46","2021-10",7.022
"47","2021-11",7.3358
"48","2021-12",7.026
"49","2022-01",7.36
"50","2022-02",6.99166666666667
"51","2022-03",7.53166666666667
"52","2022-04",7.61833333333333
"53","2022-05",7.63333333333333
"54","2022-06",7.60857142857143
"55","2022-07",5.93
"56","2022-08",5.10428571428571
"57","2022-09",4.965
"58","2022-10",4.99
"59","2022-11",5.38
"60","2022-12",5.285
"61","2023-01",4.9125
"62","2023-02",5.702877
"63","2023-03",5.81666666666667
"64","2023-04",5.798
"65","2023-05",5.635
"66","2023-06",5.55714285714286
"67","2023-07",5.65444444444444
"68","2023-08",5.751
"69","2023-09",5.71666666666667
"70","2023-10",5.97
"71","2023-11",5.7875
"72","2023-12",5.97
